token_1,ws,token_2,count
Null,1_SP,||,5133
||,1_SP,Identifier,9538
},1_NL,if,12145
},1_NL,this,999
=,1_SP,Boolean,11010
Comment,2_NL,Comment,2314
(,0_None,boolean,2003
return,1_SP,String,3593
{,1_NL_4_ID_SP,this,26614
public,1_SP,int,9284
final,1_SP,int,7563
;,1_NL,int,7531
=,1_SP,super,245
super,0_None,.,3598
Identifier,1_SP,*,2557
*,1_SP,Identifier,3759
+,1_SP,(,1932
(,0_None,(,17103
),1_SP,?,2865
?,1_SP,DecimalInteger,922
DecimalInteger,1_SP,:,1185
:,1_SP,Identifier,34457
;,1_NL,return,47314
},4_NL,Comment,37
!,1_SP,super,1
},1_NL,Identifier,26576
;,1_NL,Comment,14342
Comment,1_NL,return,4479
},3_NL_4_DD_SP,},184
Identifier,1_NL,Annotation,7506
=,0_None,String,751
),1_NL,public,10061
),1_NL,private,2462
String,0_None,",",70618
=,0_None,Boolean,138
Boolean,0_None,",",4085
DecimalInteger,0_None,),31784
Boolean,0_None,),11123
;,2_NL,public,18675
},2_NL,public,53832
{,2_NL_3_ID_SP,private,63
;,2_NL_1_ID_SP,private,3
;,2_NL,Identifier,28967
>,0_None,(,50073
(,0_None,new,22706
!,1_SP,Identifier,85
},2_NL,this,253
return,1_SP,!,478
=,1_SP,-,1559
-,0_None,DecimalInteger,10170
{,1_NL_4_ID_SP,super,4437
},1_NL,Comment,4377
{,2_NL_1_ID_TB,Annotation,1108
Identifier,1_NL_3_ID_SP,private,12
),1_NL_4_ID_SP,throws,683
throws,1_SP,Identifier,63133
{,1_NL,Identifier,528
+,1_SP,String,38150
return,1_SP,new,17183
Identifier,1_NL_16_ID_SP,extends,1
>,2_SP,{,4
{,2_NL_12_DD_SP,private,16
;,3_NL,Comment,1116
},3_NL,Annotation,1157
public,1_SP,interface,4491
interface,1_SP,Identifier,5219
Identifier,0_None,{,531
{,2_NL_4_ID_SP,Comment,2188
",",2_SP,Identifier,141
},0_None,EOF,1550
=,2_SP,Identifier,181
{,1_NL_4_ID_SP,Comment,14927
Comment,1_NL,private,21772
",",1_NL_12_ID_SP,Identifier,52
{,1_NL_8_DD_SP,boolean,1
;,1_NL,for,21695
for,0_None,(,4696
Identifier,0_None,:,27345
Identifier,1_SP,|,3512
|,1_SP,Identifier,3430
{,1_NL_4_ID_SP,boolean,1232
{,1_NL_4_DD_SP,for,116
{,2_NL_4_ID_SP,public,587
=,1_NL_4_ID_SP,String,124
;,2_NL_4_DD_SP,Comment,280
;,1_NL_4_DD_SP,public,35
=,1_NL_4_ID_SP,Identifier,877
;,1_NL_4_DD_SP,Comment,255
",",1_NL_23_ID_SP,Identifier,86
;,1_NL_27_DD_SP,Comment,26
;,2_NL_27_DD_SP,public,2
=,1_NL_4_ID_SP,new,310
;,2_NL_4_DD_SP,public,84
;,1_NL_31_DD_SP,},12
{,1_NL_3_DD_TB,return,11
;,1_NL_3_ID_SP,},37
Comment,2_NL,package,5869
.,0_None,*,3942
*,0_None,;,3942
static,1_SP,volatile,75
volatile,1_SP,Identifier,430
=,1_SP,Null,11742
Null,0_None,;,19436
private,1_SP,final,24136
static,1_SP,Identifier,24464
{,1_NL_4_ID_SP,synchronized,459
synchronized,1_SP,(,1541
},2_NL,protected,3797
),1_SP,throws,59930
),1_SP,==,13823
==,1_SP,DecimalInteger,5708
return,0_None,;,5400
<,0_None,>,39170
},2_NL,Identifier,12585
),0_None,",",77504
;,2_NL,if,11064
else,1_SP,{,26338
Comment,1_NL,boolean,1712
",",1_SP,Boolean,9599
),1_SP,+,14543
;,1_NL,try,7948
;,2_NL,while,369
while,1_SP,(,6113
(,0_None,DecimalInteger,12620
throw,1_SP,Identifier,6990
},1_SP,finally,1592
finally,1_SP,{,1611
protected,1_SP,void,3468
),1_SP,>,2988
>,1_SP,DecimalInteger,5563
!,0_None,Identifier,31746
),1_SP,&&,6917
&&,1_SP,Identifier,15652
;,1_NL,break,7373
break,0_None,;,12200
{,1_NL_8_DD_SP,Comment,30
Comment,1_NL_12_ID_SP,try,24
},1_NL_12_DD_SP,Comment,20
Comment,1_NL_8_ID_SP,},62
>,0_None,>,13905
;,1_NL,while,3697
Null,1_SP,&&,10886
&&,1_SP,(,1134
||,1_SP,String,91
",",1_SP,String,36634
;,1_NL_16_DD_SP,Comment,57
Comment,1_NL_16_ID_SP,if,6
{,1_NL_4_ID_SP,int,5505
++,0_None,",",197
",",1_SP,DecimalInteger,8993
;,2_NL,boolean,837
;,2_NL,return,5578
{,1_NL_1_ID_TB,private,355
",",1_NL_2_ID_TB,Identifier,2596
",",1_SP,int,13375
),1_NL,throws,347
{,1_NL_1_DD_TB,Identifier,357
;,1_NL,boolean,2224
{,1_NL_1_ID_TB,Identifier,67886
;,1_NL_2_DD_TB,Identifier,567
{,1_NL_1_ID_TB,if,19977
;,1_NL,throw,2807
Identifier,1_NL_2_ID_TB,+,60
;,1_NL_3_DD_TB,},1972
;,1_NL_1_DD_TB,},110892
},2_NL,return,7967
